Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
ACAR503.6,503.6,7-Dec,0.1628,0.1628,,0.814,,,471.1,,,11900,0.0362,0.0441,20,75,304.8,646,ACAR
ACAR653.1,653.1,7-Dec,0.1854,0.1854,,0.927,,,611,,,15400,0.0279,0.0342,20,75,304.8,760,ACAR
ACAR739.8,739.8,30/7,0.1414,0.1414,,0.99,,,692.7,,,15300,0.024,0.0296,20,75,304.8,831,ACAR
ACAR739.8,739.8,18/19,0.1414,0.1414,,0.99,,,691.6,,,18800,0.0252,0.0308,20,75,304.8,814,ACAR
ACAR853.7,853.7,30/7,0.1519,0.1519,,1.063,,,799.3,,,17500,0.0208,0.0257,20,75,304.8,907,ACAR
ACAR853.7,853.7,18/19,0.1519,0.1519,,1.063,,,798,,,21500,0.0218,0.0268,20,75,304.8,890,ACAR
ACAR927.2,927.2,30/7,0.1583,0.1583,,1.108,,,868.2,,,19000,0.0192,0.0238,20,75,304.8,955,ACAR
ACAR927.2,927.2,18/19,0.1583,0.1583,,1.108,,,866.7,,,23400,0.0201,0.0247,20,75,304.8,936,ACAR
ACAR1024.5,1024.5,30/7,0.1664,0.1664,,1.165,,,959.3,,,20900,0.0173,0.0216,20,75,304.8,1015,ACAR
ACAR1024.5,1024.5,18/19,0.1664,0.1664,,1.165,,,957.7,,,25800,0.0182,0.0225,20,75,304.8,995,ACAR
ACAR1081,1081,30/7,0.1709,0.1709,,1.196,,,1012.1,,,22100,0.0164,0.0205,20,75,304.8,1048,ACAR
ACAR1081,1081,18/19,0.1709,0.1709,,1.196,,,1010.5,,,27200,0.0172,0.0213,20,75,304.8,1028,ACAR
ACAR1109,1109,30/7,0.1731,0.1731,,1.212,,,1038.4,,,22700,0.016,0.02,20,75,304.8,1065,ACAR
ACAR1109,1109,18/19,0.1731,0.1731,,1.212,,,1036.6,,,27900,0.0168,0.0208,20,75,304.8,1044,ACAR
